"part_id","hh_id","part_age","part_gender"
1259806,"HH1259806","[50,60)","F"
1259807,"HH1259807","[50,60)","F"
1259808,"HH1259808","[50,60)","F"
1259901,"HH1259901","[18,30)","F"
1260001,"HH1260001","[30,40)","F"
1260002,"HH1260002","[30,40)","F"
1260003,"HH1260003","[30,40)","F"
1260005,"HH1260005","[30,40)","F"
1260006,"HH1260006","[30,40)","F"
1260101,"HH1260101","[40,50)","M"
1260102,"HH1260102","[40,50)","M"
1260103,"HH1260103","[40,50)","M"
1260104,"HH1260104","[40,50)","M"
1260105,"HH1260105","[40,50)","M"
1260106,"HH1260106","[40,50)","M"
1260107,"HH1260107","[40,50)","M"
1260108,"HH1260108","[40,50)","M"
1260201,"HH1260201","[60,70)","M"
1260202,"HH1260202","[60,70)","M"
1260203,"HH1260203","[60,70)","M"
1260204,"HH1260204","[60,70)","M"
1260205,"HH1260205","[60,70)","M"
1260206,"HH1260206","[60,70)","M"
1260207,"HH1260207","[60,70)","M"
1260208,"HH1260208","[60,70)","M"
1260301,"HH1260301","[30,40)","M"
1260302,"HH1260302","[30,40)","M"
1260303,"HH1260303","[30,40)","M"
1260305,"HH1260305","[30,40)","M"
1260306,"HH1260306","[30,40)","M"
1260401,"HH1260401","[40,50)","M"
1260402,"HH1260402","[30,40)","M"
1260403,"HH1260403","[30,40)","M"
1260404,"HH1260404","[30,40)","M"
1260405,"HH1260405","[30,40)","M"
