"part_id","hh_id","part_age","part_gender"
2116012,"HH2116012",13,NA
2116212,"HH2116212",43,"M"
2116412,"HH2116412",41,"M"
2116512,"HH2116512",20,"M"
2116612,"HH2116612",24,"F"
2116712,"HH2116712",21,"F"
2116812,"HH2116812",32,"F"
2116912,"HH2116912",35,"M"
2117112,"HH2117112",21,"F"
2117212,"HH2117212",20,"F"
2117312,"HH2117312",37,"M"
2117412,"HH2117412",29,"F"
2117512,"HH2117512",16,NA
2118012,"HH2118012",29,"M"
2118112,"HH2118112",41,"F"
2118212,"HH2118212",21,"F"
2118412,"HH2118412",13,NA
2118612,"HH2118612",35,"F"
2118912,"HH2118912",23,"F"
2119212,"HH2119212",21,"F"
2119612,"HH2119612",23,"M"
2119812,"HH2119812",8,NA
2120012,"HH2120012",13,NA
2120212,"HH2120212",33,"M"
2120312,"HH2120312",8,NA
2120412,"HH2120412",31,"F"
2120612,"HH2120612",26,"M"
2120712,"HH2120712",16,NA
2120912,"HH2120912",37,"M"
2121212,"HH2121212",13,NA
2121412,"HH2121412",33,"M"
2121512,"HH2121512",24,"F"
2121912,"HH2121912",33,"F"
2122112,"HH2122112",36,"F"
2122412,"HH2122412",32,"M"
2122612,"HH2122612",16,NA
2122712,"HH2122712",31,"F"
2122812,"HH2122812",43,"F"
2122912,"HH2122912",13,NA
2123012,"HH2123012",8,NA
2123112,"HH2123112",27,"F"
2123212,"HH2123212",35,"F"
2123312,"HH2123312",23,"F"
2123412,"HH2123412",37,"F"
2124012,"HH2124012",22,"M"
2124212,"HH2124212",2,NA
2124412,"HH2124412",24,"M"
2124912,"HH2124912",39,"F"
2125112,"HH2125112",41,"M"
2125512,"HH2125512",25,"F"
2125612,"HH2125612",39,"F"
2125712,"HH2125712",8,NA
2125912,"HH2125912",43,"M"
2126012,"HH2126012",26,"F"
2126512,"HH2126512",33,"F"
2126612,"HH2126612",27,"F"
2127112,"HH2127112",31,"M"
2127312,"HH2127312",8,NA
2127512,"HH2127512",29,"F"
2128012,"HH2128012",32,"F"
2128612,"HH2128612",8,NA
2128712,"HH2128712",30,"F"
2129112,"HH2129112",43,"M"
2129712,"HH2129712",37,"F"
2129912,"HH2129912",26,"F"
2130312,"HH2130312",2,NA
2130412,"HH2130412",2,NA
2130512,"HH2130512",8,NA
2130612,"HH2130612",25,"M"
2130812,"HH2130812",28,"M"
2131012,"HH2131012",13,NA
2131212,"HH2131212",41,"F"
2131312,"HH2131312",41,"M"
2131412,"HH2131412",31,"M"
2131512,"HH2131512",38,"F"
2131712,"HH2131712",43,"M"
2131812,"HH2131812",16,NA
2131912,"HH2131912",13,NA
2132112,"HH2132112",40,"F"
2132212,"HH2132212",33,"F"
2132312,"HH2132312",36,"F"
2132512,"HH2132512",38,"F"
2132812,"HH2132812",8,NA
2132912,"HH2132912",8,NA
2133012,"HH2133012",13,NA
2133212,"HH2133212",40,"M"
2133612,"HH2133612",32,"F"
2133712,"HH2133712",39,"M"
2133812,"HH2133812",8,NA
2134012,"HH2134012",13,NA
2134112,"HH2134112",44,"F"
2134312,"HH2134312",8,NA
2134412,"HH2134412",8,NA
2134612,"HH2134612",2,NA
2134812,"HH2134812",16,NA
2134912,"HH2134912",44,"M"
2135112,"HH2135112",13,NA
2135212,"HH2135212",13,NA
2135312,"HH2135312",8,NA
2135412,"HH2135412",8,NA
